cell_line	agent	perturbation	replicate	time	concentration	cell_count
BT20	drugB	0	3	48	0.001	501
BT20	drugB	0	3	48	0.003162	481
BT20	drugB	0	3	48	0.01	494
BT20	drugB	0	3	48	0.03162	415
BT20	drugB	0	3	48	0.1	526
BT20	drugB	0	3	48	0.3162	405
BT20	drugB	0	3	48	1	373
BT20	drugB	0	3	48	3.162	399
BT20	drugB	0	3	48	10	408
BT20	drugC	0	3	48	0.001	454
BT20	drugC	0	3	48	0.003162	443
BT20	drugC	0	3	48	0.01	436
BT20	drugC	0	3	48	0.03162	414
BT20	drugC	0	3	48	0.1	379
BT20	drugC	0	3	48	0.3162	367
BT20	drugC	0	3	48	1	418
BT20	drugC	0	3	48	3.162	343
BT20	drugC	0	3	48	10	314
BT20	drugD	0	3	48	0.001	403
BT20	drugD	0	3	48	0.003162	381
BT20	drugD	0	3	48	0.01	466
BT20	drugD	0	3	48	0.03162	430
BT20	drugD	0	3	48	0.1	314
BT20	drugD	0	3	48	0.3162	325
BT20	drugD	0	3	48	1	307
BT20	drugD	0	3	48	3.162	278
BT20	drugD	0	3	48	10	275
BT20	drugA	0	1	72	0.001	588
BT20	drugA	0	1	72	0.003162	540
BT20	drugA	0	1	72	0.01	582
BT20	drugA	0	1	72	0.03162	639
BT20	drugA	0	1	72	0.1	576
BT20	drugA	0	1	72	0.3162	526
BT20	drugA	0	1	72	1	638
BT20	drugA	0	1	72	3.162	584
BT20	drugA	0	1	72	10	473
BT20	drugB	0	1	72	0.001	508
BT20	drugB	0	1	72	0.003162	634
BT20	drugB	0	1	72	0.01	601
BT20	drugB	0	1	72	0.03162	612
BT20	drugB	0	1	72	0.1	546
BT20	drugB	0	1	72	0.3162	544
BT20	drugB	0	1	72	1	552
BT20	drugB	0	1	72	3.162	536
BT20	drugB	0	1	72	10	421
BT20	drugC	0	1	72	0.001	533
BT20	drugC	0	1	72	0.003162	551
BT20	drugC	0	1	72	0.01	608
BT20	drugC	0	1	72	0.03162	586
BT20	drugC	0	1	72	0.1	454
BT20	drugC	0	1	72	0.3162	395
BT20	drugC	0	1	72	1	489
BT20	drugC	0	1	72	3.162	432
BT20	drugC	0	1	72	10	398
BT20	drugD	0	1	72	0.001	626
BT20	drugD	0	1	72	0.003162	590
BT20	drugD	0	1	72	0.01	589
BT20	drugD	0	1	72	0.03162	499
BT20	drugD	0	1	72	0.1	434
BT20	drugD	0	1	72	0.3162	309
BT20	drugD	0	1	72	1	254
BT20	drugD	0	1	72	3.162	330
BT20	drugD	0	1	72	10	280
BT20	drugA	0	2	72	0.001	622
BT20	drugA	0	2	72	0.003162	689
BT20	drugA	0	2	72	0.01	578
BT20	drugA	0	2	72	0.03162	635
BT20	drugA	0	2	72	0.1	612
BT20	drugA	0	2	72	0.3162	621
BT20	drugA	0	2	72	1	640
BT20	drugA	0	2	72	3.162	522
BT20	drugA	0	2	72	10	501
BT20	drugB	0	2	72	0.001	494
BT20	drugB	0	2	72	0.003162	686
BT20	drugB	0	2	72	0.01	584
BT20	drugB	0	2	72	0.03162	564
BT20	drugB	0	2	72	0.1	563
BT20	drugB	0	2	72	0.3162	590
BT20	drugB	0	2	72	1	578
BT20	drugB	0	2	72	3.162	520
BT20	drugB	0	2	72	10	549
BT20	drugC	0	2	72	0.001	628
BT20	drugC	0	2	72	0.003162	711
BT20	drugC	0	2	72	0.01	556
BT20	drugC	0	2	72	0.03162	562
BT20	drugC	0	2	72	0.1	424
BT20	drugC	0	2	72	0.3162	427
BT20	drugC	0	2	72	1	471
BT20	drugC	0	2	72	3.162	437
BT20	drugC	0	2	72	10	452
BT20	drugD	0	2	72	0.001	611
BT20	drugD	0	2	72	0.003162	492
BT20	drugD	0	2	72	0.01	684
BT20	drugD	0	2	72	0.03162	456
BT20	drugD	0	2	72	0.1	363
BT20	drugD	0	2	72	0.3162	367
BT20	drugD	0	2	72	1	319
BT20	drugD	0	2	72	3.162	304
BT20	drugD	0	2	72	10	312
BT20	drugA	0	3	72	0.001	605
BT20	drugA	0	3	72	0.003162	624
BT20	drugA	0	3	72	0.01	626
BT20	drugA	0	3	72	0.03162	502
BT20	drugA	0	3	72	0.1	551
BT20	drugA	0	3	72	0.3162	555
BT20	drugA	0	3	72	1	616
BT20	drugA	0	3	72	3.162	545
BT20	drugA	0	3	72	10	533
BT20	drugB	0	3	72	0.001	538
BT20	drugB	0	3	72	0.003162	546
BT20	drugB	0	3	72	0.01	573
BT20	drugB	0	3	72	0.03162	705
BT20	drugB	0	3	72	0.1	666
BT20	drugB	0	3	72	0.3162	673
BT20	drugB	0	3	72	1	469
BT20	drugB	0	3	72	3.162	503
BT20	drugB	0	3	72	10	457
BT20	drugC	0	3	72	0.001	698
BT20	drugC	0	3	72	0.003162	533
BT20	drugC	0	3	72	0.01	492
BT20	drugC	0	3	72	0.03162	462
BT20	drugC	0	3	72	0.1	426
BT20	drugC	0	3	72	0.3162	426
BT20	drugC	0	3	72	1	389
BT20	drugC	0	3	72	3.162	366
BT20	drugC	0	3	72	10	439
BT20	drugD	0	3	72	0.001	529
BT20	drugD	0	3	72	0.003162	588
BT20	drugD	0	3	72	0.01	592
BT20	drugD	0	3	72	0.03162	453
BT20	drugD	0	3	72	0.1	453
BT20	drugD	0	3	72	0.3162	270
BT20	drugD	0	3	72	1	273
BT20	drugD	0	3	72	3.162	306
BT20	drugD	0	3	72	10	296
BT20	drugA	1	1	48	0.001	360
BT20	drugA	1	1	48	0.003162	383
BT20	drugA	1	1	48	0.01	421
BT20	drugA	1	1	48	0.03162	313
BT20	drugA	1	1	48	0.1	387
BT20	drugA	1	1	48	0.3162	351
BT20	drugA	1	1	48	1	435
BT20	drugA	1	1	48	3.162	361
BT20	drugA	1	1	48	10	348
BT20	drugB	1	1	48	0.001	421
BT20	drugB	1	1	48	0.003162	400
BT20	drugB	1	1	48	0.01	344
BT20	drugB	1	1	48	0.03162	379
BT20	drugB	1	1	48	0.1	345
BT20	drugB	1	1	48	0.3162	443
BT20	drugB	1	1	48	1	322
BT20	drugB	1	1	48	3.162	348
BT20	drugB	1	1	48	10	293
BT20	drugC	1	1	48	0.001	362
BT20	drugC	1	1	48	0.003162	310
BT20	drugC	1	1	48	0.01	404
BT20	drugC	1	1	48	0.03162	322
BT20	drugC	1	1	48	0.1	301
BT20	drugC	1	1	48	0.3162	280
BT20	drugC	1	1	48	1	289
BT20	drugC	1	1	48	3.162	312
BT20	drugC	1	1	48	10	261
BT20	drugD	1	1	48	0.001	329
BT20	drugD	1	1	48	0.003162	380
BT20	drugD	1	1	48	0.01	393
BT20	drugD	1	1	48	0.03162	311
BT20	drugD	1	1	48	0.1	278
BT20	drugD	1	1	48	0.3162	228
BT20	drugD	1	1	48	1	241
BT20	drugD	1	1	48	3.162	275
BT20	drugD	1	1	48	10	299
BT20	drugA	1	2	48	0.001	404
BT20	drugA	1	2	48	0.003162	356
BT20	drugA	1	2	48	0.01	349
BT20	drugA	1	2	48	0.03162	375
BT20	drugA	1	2	48	0.1	444
BT20	drugA	1	2	48	0.3162	397
BT20	drugA	1	2	48	1	388
BT20	drugA	1	2	48	3.162	377
BT20	drugA	1	2	48	10	324
BT20	drugB	1	2	48	0.001	349
BT20	drugB	1	2	48	0.003162	459
BT20	drugB	1	2	48	0.01	320
BT20	drugB	1	2	48	0.03162	410
BT20	drugB	1	2	48	0.1	386
BT20	drugB	1	2	48	0.3162	381
BT20	drugB	1	2	48	1	366
BT20	drugB	1	2	48	3.162	312
BT20	drugB	1	2	48	10	315
BT20	drugC	1	2	48	0.001	404
BT20	drugC	1	2	48	0.003162	388
BT20	drugC	1	2	48	0.01	359
BT20	drugC	1	2	48	0.03162	385
BT20	drugC	1	2	48	0.1	308
BT20	drugC	1	2	48	0.3162	272
BT20	drugC	1	2	48	1	380
BT20	drugC	1	2	48	3.162	343
BT20	drugC	1	2	48	10	305
BT20	drugD	1	2	48	0.001	362
BT20	drugD	1	2	48	0.003162	345
BT20	drugD	1	2	48	0.01	404
BT20	drugD	1	2	48	0.03162	323
BT20	drugD	1	2	48	0.1	297
BT20	drugD	1	2	48	0.3162	271
BT20	drugD	1	2	48	1	267
BT20	drugD	1	2	48	3.162	260
BT20	drugD	1	2	48	10	292
BT20	drugA	1	3	48	0.001	426
BT20	drugA	1	3	48	0.003162	403
BT20	drugA	1	3	48	0.01	341
BT20	drugA	1	3	48	0.03162	375
BT20	drugA	1	3	48	0.1	384
BT20	drugA	1	3	48	0.3162	346
BT20	drugA	1	3	48	1	356
BT20	drugA	1	3	48	3.162	303
BT20	drugA	1	3	48	10	388
BT20	drugB	1	3	48	0.001	343
BT20	drugB	1	3	48	0.003162	335
BT20	drugB	1	3	48	0.01	376
BT20	drugB	1	3	48	0.03162	380
BT20	drugB	1	3	48	0.1	374
BT20	drugB	1	3	48	0.3162	393
BT20	drugB	1	3	48	1	364
BT20	drugB	1	3	48	3.162	379
BT20	drugB	1	3	48	10	305
BT20	drugC	1	3	48	0.001	380
BT20	drugC	1	3	48	0.003162	302
BT20	drugC	1	3	48	0.01	301
BT20	drugC	1	3	48	0.03162	382
BT20	drugC	1	3	48	0.1	321
BT20	drugC	1	3	48	0.3162	342
BT20	drugC	1	3	48	1	280
BT20	drugC	1	3	48	3.162	296
BT20	drugC	1	3	48	10	268
BT20	drugD	1	3	48	0.001	377
BT20	drugD	1	3	48	0.003162	318
BT20	drugD	1	3	48	0.01	388
BT20	drugD	1	3	48	0.03162	321
BT20	drugD	1	3	48	0.1	284
BT20	drugD	1	3	48	0.3162	245
BT20	drugD	1	3	48	1	269
BT20	drugD	1	3	48	3.162	219
BT20	drugD	1	3	48	10	231
BT20	drugA	1	1	72	0.001	391
BT20	drugA	1	1	72	0.003162	447
BT20	drugA	1	1	72	0.01	394
BT20	drugA	1	1	72	0.03162	411
BT20	drugA	1	1	72	0.1	440
BT20	drugA	1	1	72	0.3162	386
BT20	drugA	1	1	72	1	441
BT20	drugA	1	1	72	3.162	404
BT20	drugA	1	1	72	10	448
BT20	drugB	1	1	72	0.001	460
BT20	drugB	1	1	72	0.003162	431
BT20	drugB	1	1	72	0.01	513
BT20	drugB	1	1	72	0.03162	456
BT20	drugB	1	1	72	0.1	446
BT20	drugB	1	1	72	0.3162	439
BT20	drugB	1	1	72	1	406
BT20	drugB	1	1	72	3.162	413
BT20	drugB	1	1	72	10	351
BT20	drugC	1	1	72	0.001	360
BT20	drugC	1	1	72	0.003162	459
BT20	drugC	1	1	72	0.01	387
BT20	drugC	1	1	72	0.03162	477
BT20	drugC	1	1	72	0.1	349
BT20	drugC	1	1	72	0.3162	343
BT20	drugC	1	1	72	1	360
BT20	drugC	1	1	72	3.162	381
BT20	drugC	1	1	72	10	331
BT20	drugD	1	1	72	0.001	513
BT20	drugD	1	1	72	0.003162	465
BT20	drugD	1	1	72	0.01	499
BT20	drugD	1	1	72	0.03162	391
BT20	drugD	1	1	72	0.1	277
BT20	drugD	1	1	72	0.3162	227
BT20	drugD	1	1	72	1	235
BT20	drugD	1	1	72	3.162	260
BT20	drugD	1	1	72	10	301
BT20	drugA	1	2	72	0.001	389
BT20	drugA	1	2	72	0.003162	433
BT20	drugA	1	2	72	0.01	372
BT20	drugA	1	2	72	0.03162	435
BT20	drugA	1	2	72	0.1	442
BT20	drugA	1	2	72	0.3162	374
BT20	drugA	1	2	72	1	455
BT20	drugA	1	2	72	3.162	349
BT20	drugA	1	2	72	10	332
BT20	drugB	1	2	72	0.001	395
BT20	drugB	1	2	72	0.003162	483
BT20	drugB	1	2	72	0.01	451
BT20	drugB	1	2	72	0.03162	448
BT20	drugB	1	2	72	0.1	387
BT20	drugB	1	2	72	0.3162	513
BT20	drugB	1	2	72	1	427
BT20	drugB	1	2	72	3.162	399
BT20	drugB	1	2	72	10	366
BT20	drugC	1	2	72	0.001	468
BT20	drugC	1	2	72	0.003162	455
BT20	drugC	1	2	72	0.01	431
BT20	drugC	1	2	72	0.03162	356
BT20	drugC	1	2	72	0.1	329
BT20	drugC	1	2	72	0.3162	372
BT20	drugC	1	2	72	1	384
BT20	drugC	1	2	72	3.162	334
BT20	drugC	1	2	72	10	334
BT20	drugD	1	2	72	0.001	468
BT20	drugD	1	2	72	0.003162	359
BT20	drugD	1	2	72	0.01	353
BT20	drugD	1	2	72	0.03162	374
BT20	drugD	1	2	72	0.1	315
BT20	drugD	1	2	72	0.3162	249
BT20	drugD	1	2	72	1	278
BT20	drugD	1	2	72	3.162	243
BT20	drugD	1	2	72	10	270
BT20	drugA	1	3	72	0.001	507
BT20	drugA	1	3	72	0.003162	441
BT20	drugA	1	3	72	0.01	518
BT20	drugA	1	3	72	0.03162	423
BT20	drugA	1	3	72	0.1	427
BT20	drugA	1	3	72	0.3162	502
BT20	drugA	1	3	72	1	512
BT20	drugA	1	3	72	3.162	494
BT20	drugA	1	3	72	10	391
BT20	drugB	1	3	72	0.001	441
BT20	drugB	1	3	72	0.003162	391
BT20	drugB	1	3	72	0.01	392
BT20	drugB	1	3	72	0.03162	492
BT20	drugB	1	3	72	0.1	538
BT20	drugB	1	3	72	0.3162	506
BT20	drugB	1	3	72	1	436
BT20	drugB	1	3	72	3.162	473
BT20	drugB	1	3	72	10	422
BT20	drugC	1	3	72	0.001	424
BT20	drugC	1	3	72	0.003162	462
BT20	drugC	1	3	72	0.01	405
BT20	drugC	1	3	72	0.03162	454
BT20	drugC	1	3	72	0.1	388
BT20	drugC	1	3	72	0.3162	303
BT20	drugC	1	3	72	1	356
BT20	drugC	1	3	72	3.162	330
BT20	drugC	1	3	72	10	352
BT20	drugD	1	3	72	0.001	484
BT20	drugD	1	3	72	0.003162	514
BT20	drugD	1	3	72	0.01	383
BT20	drugD	1	3	72	0.03162	406
BT20	drugD	1	3	72	0.1	360
BT20	drugD	1	3	72	0.3162	277
BT20	drugD	1	3	72	1	247
BT20	drugD	1	3	72	3.162	291
BT20	drugD	1	3	72	10	279
